Run,Hidden_Layer,Hidden_Units,Batch_Size,Learning_Rate,Dropout,Epoch
1,2,583,158,5.88E-05,0.689843596,141
2,1,760,256,0.000221291,0.632107338,201
3,1,1657,245,0.000324399,0.614211127,145
4,2,1438,255,0.000551293,0.771823154,123
5,1,596,249,0.000413234,0.765339008,547
6,2,1000,225,1.29E-05,0.762464918,391
7,2,827,105,0.000773854,0.572724515,396
8,1,666,213,0.000820977,0.532955784,585
9,2,883,234,0.000613977,0.545271504,132
10,1,1196,220,0.000425099,0.500707461,452
11,2,1648,201,0.000991775,0.697068047,437
12,1,1579,196,0.000769202,0.527737981,112
13,2,1201,247,0.000943999,0.67216418,238
14,1,948,183,0.000871316,0.732939636,157
15,1,851,248,0.000645044,0.717698639,869
16,2,571,228,0.000675476,0.612188955,469
17,2,732,184,0.000398307,0.513183881,918
18,1,1147,218,0.000890203,0.604142595,750
19,1,1165,73,0.00075708,0.531058871,998
20,2,716,155,0.000900053,0.663263574,980
21,1,1394,239,5.85E-06,0.5044703,101
22,2,1454,240,0.000493417,0.590313662,982
23,1,1231,191,0.000621305,0.595799575,605
24,2,1523,251,0.000977855,0.544266327,911
25,2,913,250,5.53E-05,0.52384732,746
26,1,1203,161,3.26E-05,0.644232563,813
27,1,1026,80,0.000126512,0.584068461,905
28,2,600,147,0.00019901,0.551895135,802
29,2,1318,184,0.000309162,0.793712594,520
30,1,899,219,0.000192158,0.698727854,964
31,2,1595,238,0.000227368,0.739774888,667
32,1,1511,173,6.54E-05,0.730827533,933
33,1,1287,210,0.00097154,0.74191837,994
34,2,1356,233,0.000795778,0.656096879,629
35,1,1635,133,0.000785781,0.773009948,951
36,2,1397,86,0.000948667,0.616489957,865
37,2,579,88,0.000587603,0.781543679,986
38,1,799,130,0.000927432,0.788432276,707
39,2,952,108,0.000213182,0.775954334,768
40,1,891,74,0.000362409,0.63370804,672
41,1,693,73,4.87E-05,0.791993992,293
42,2,774,172,0.000478642,0.702347169,499
43,1,1152,81,0.000964903,0.76861475,534
44,2,593,112,0.000995835,0.757778557,223
45,1,1114,66,0.000316859,0.684524742,102
46,2,1678,150,0.000506696,0.743731091,210
47,2,1610,93,0.000699682,0.630894314,268
48,1,1416,157,0.00083694,0.780879466,361
49,2,1521,65,0.000520791,0.762728614,827
50,1,1412,69,0.000103963,0.649653064,469
51,1,1644,65,2.36E-05,0.538599276,631
52,2,1576,117,0.000445267,0.557813185,876
53,2,1264,95,0.000274865,0.546668025,567
54,1,1343,174,0.000153281,0.530149852,348
55,1,1041,143,0.000535607,0.651365611,551
56,2,990,85,0.000607914,0.691898981,352
57,2,603,79,0.000489578,0.522915396,169
58,1,564,100,0.000350213,0.653699507,302
59,1,1530,127,0.000687206,0.506653508,529
60,2,1254,123,0.000852415,0.624388287,444
